"item_A","item_B","item_C","lon","lat","start","end","overall_pos","overall_neg"
"PGN16021-39","PGA14008-15","SARI-Nan","-1.519561","5.08472","2020-07-13 16:53:38","2020-12-10 10:38:03","A","B"
"SARI-Janlow","PGN16021-39","SARI-Tiemeh","-1.564783","5.063292","2020-07-07 07:19:00","2020-11-16 11:26:42","A","C"
"PGA14008-15","PG17362-N1","CRI-Apomuden","-1.609936","5.116977","2020-07-16 11:08:48","2020-11-16 11:28:43","C","B"
"CRI-Dadanyuie","CRI-Okumkum","SARI-Nyoriberi-gu","-1.558353","5.071565","2020-07-07 08:12:00","2020-11-16 11:28:10","A","B"
"SARI-Suyolo","SARI-Nyumingre (Obare)","CRI-Dadanyuie","-1.565262","5.0648","2020-07-07 08:05:37","2020-11-16 11:27:31","C","B"
"CRI-Apomuden","SARI-Diedi","PG17265-N1","-1.56362","5.054418","2020-07-16 10:56:48","2020-11-19 11:27:10","A","C"
"SARI-Nan","SARI-Janlow","SARI-Nyumingre (Obare)","-1.559052","5.088393","2020-07-16 11:10:53","2020-11-23 10:43:45","B","C"
"SARI-Nyoriberi-gu","SARI-Diedi","SARI-Tiemeh","-1.566202","5.051647","2020-07-16 11:00:30","2020-11-16 11:31:27","A","C"
"PGA14008-15","SARI-Suyolo","PG17362-N1","-1.575338","5.0554","2020-07-16 11:12:20","2020-11-19 10:08:49","B","C"
"SARI-Diedi","PGA14011-13","CRI-Okumkum","-1.559052","5.088393","2020-07-16 11:09:50","2020-11-23 10:42:52","B","A"
"CRI-Dadanyuie","PGN16021-39","PGA14008-15","-1.557537","5.094822","2020-07-16 10:13:15","2020-11-16 10:20:20","C","A"
"SARI-Nan","CRI-Apomuden","SARI-Nyoriberi-gu","-1.557235","5.094083","2020-07-16 10:58:16","2020-11-16 11:29:38","C","B"
"PGA14011-13","SARI-Tiemeh","SARI-Janlow","-1.557422","5.09489","2020-07-16 10:00:34","2020-11-16 09:49:04","A","B"
"PG17362-N1","PG17265-N1","PGN16021-39","-1.560275","5.067465","2020-07-16 11:02:35","2020-11-23 10:02:33","C","A"
"CRI-Okumkum","SARI-Nan","SARI-Suyolo","-1.557508","5.094865","2020-07-16 10:19:13","2020-11-16 10:24:16","C","A"
"SARI-Nyumingre (Obare)","SARI-Tiemeh","CRI-Dadanyuie","-1.561403","5.077695","2020-07-16 11:05:24","2020-11-23 10:37:40","C","A"
"SARI-Nyoriberi-gu","PG17265-N1","PGA14011-13","-1.557453","5.094815","2020-07-16 10:43:01","2020-11-16 10:25:09","A","C"
"SARI-Janlow","SARI-Suyolo","CRI-Apomuden","-1.557505","5.094767","2020-07-16 10:30:09","2020-11-16 10:25:44","A","C"
"PGN16021-39","CRI-Apomuden","SARI-Diedi","-1.222683","5.131309","2020-07-13 16:58:22","2020-11-23 10:23:31","B","C"
"SARI-Suyolo","SARI-Nyoriberi-gu","PG17362-N1","-1.422989","5.147172","2020-07-08 14:57:54","2020-11-10 11:18:50","A","C"
"SARI-Tiemeh","CRI-Apomuden","PG17265-N1","-1.222687","5.131307","2020-07-13 17:12:43","2020-11-23 11:21:13","B","A"
"SARI-Nan","CRI-Okumkum","SARI-Nyumingre (Obare)","-1.222684","5.131305","2020-07-13 17:00:27","2020-11-23 15:24:19","B","C"
"SARI-Janlow","PGA14011-13","SARI-Nyoriberi-gu","-1.335634","5.265348","2020-07-09 10:52:38","2020-11-26 09:24:02","B","C"
"PG17265-N1","PGA14008-15","SARI-Suyolo","-1.335664","5.265226","2020-09-04 13:26:26","2020-11-20 16:01:45","B","A"
"SARI-Diedi","SARI-Nyumingre (Obare)","SARI-Nyoriberi-gu","-1.333531","5.266183","2020-07-12 13:13:05","2020-11-22 07:13:49","C","A"
"PG17362-N1","SARI-Nan","SARI-Tiemeh","-1.475322","5.417932","2020-07-10 07:00:50","2020-12-09 06:15:34","B","C"
"SARI-Nyumingre (Obare)","PGN16021-39","PGA14011-13","-1.506758","5.387455","2020-08-03 11:47:40","2020-12-09 14:50:38","C","B"
"SARI-Suyolo","SARI-Janlow","SARI-Tiemeh","-1.475233","5.417842","2020-07-08 11:05:30","2020-12-09 06:47:40","B","C"
"CRI-Apomuden","SARI-Nyoriberi-gu","CRI-Okumkum","-1.340165","5.258711","2020-07-17 11:47:25","2020-12-09 12:04:28","A","B"
"CRI-Apomuden","SARI-Suyolo","CRI-Dadanyuie","-1.374999","5.318413","2020-07-17 11:56:25","2020-12-09 10:52:07","A","C"
"PGA14011-13","PG17362-N1","PG17265-N1","-1.340165","5.258711","2020-07-08 09:56:05","2020-12-09 11:41:06","C","A"
"SARI-Nyoriberi-gu","PG17265-N1","SARI-Janlow","-1.337053","5.26591","2020-07-09 14:19:35","2020-11-22 06:06:42","C","A"
"SARI-Tiemeh","SARI-Diedi","SARI-Nan","-1.336625","5.265946","2020-09-04 13:18:13","2020-11-26 15:03:47","B","A"
"SARI-Janlow","SARI-Nyumingre (Obare)","PGN16021-39","-1.335578","5.26524","2020-09-04 13:30:23","2020-11-26 07:07:38","B","C"
"CRI-Okumkum","PGA14011-13","CRI-Dadanyuie","-1.3437","5.297394","2020-07-16 08:42:40","2020-11-23 12:33:37","B","C"
"PGA14008-15","SARI-Diedi","PG17362-N1","-1.343686","5.297872","2020-07-11 12:27:21","2020-11-23 10:55:19","C","A"
"CRI-Dadanyuie","SARI-Tiemeh","CRI-Apomuden","-1.009287","5.686693","2020-07-08 16:45:22","2020-12-06 15:34:54","C","A"
"PG17265-N1","CRI-Okumkum","SARI-Nan","-1.009458","5.686917","2020-07-09 21:01:22","2020-12-06 15:47:29","A","C"
"SARI-Nyoriberi-gu","CRI-Apomuden","SARI-Suyolo","-1.009462","5.686836","2020-07-09 14:50:33","2020-12-06 15:30:23","B","A"
"PG17362-N1","CRI-Dadanyuie","SARI-Nyumingre (Obare)","-1.009588","5.687009","2020-07-08 16:16:46","2020-12-06 15:51:38","B","C"
"SARI-Tiemeh","PGN16021-39","PGA14011-13","-1.009363","5.686884","2020-07-08 13:11:29","2020-12-06 16:06:51","B","C"
"SARI-Suyolo","SARI-Janlow","PGA14008-15","-1.009461","5.686858","2020-07-08 16:28:37","2020-12-06 16:02:23","C","A"
"CRI-Okumkum","SARI-Nyoriberi-gu","PG17362-N1","-1.009516","5.686875","2020-07-09 11:08:43","2020-12-06 16:00:28","A","C"
"CRI-Apomuden","SARI-Nan","SARI-Diedi","-1.009767","5.687037","2020-07-08 15:42:12","2020-12-06 15:58:12","A","B"
"SARI-Nyumingre (Obare)","PGA14008-15","PG17265-N1","-1.009177","5.686632","2020-07-09 16:37:42","2020-12-06 15:55:49","A","C"
"CRI-Dadanyuie","PGA14011-13","SARI-Janlow","-1.009536","5.68673","2020-07-10 08:05:47","2020-12-06 13:02:51","B","A"
"PGN16021-39","SARI-Diedi","SARI-Suyolo","-1.437864","5.483394","2020-07-10 09:33:49","2020-12-04 18:29:08","A","B"
"PGA14008-15","SARI-Tiemeh","SARI-Nyoriberi-gu","-1.009487","5.686704","2020-07-09 17:16:59","2020-12-06 13:09:48","B","A"
"SARI-Nan","PG17362-N1","PG17265-N1","-1.009614","5.686813","2020-07-10 13:48:02","2020-12-06 13:14:35","A","B"
"SARI-Janlow","SARI-Nyumingre (Obare)","CRI-Apomuden","-1.009543","5.686733","2020-07-08 15:15:45","2020-12-06 13:19:45","C","B"
"PG17265-N1","CRI-Okumkum","PGN16021-39","-1.009506","5.686709","2020-07-07 16:20:56","2020-12-06 13:25:35","B","C"
"PGA14011-13","PG17362-N1","SARI-Tiemeh","-1.009438","5.686738","2020-07-08 17:41:02","2020-12-06 13:30:59","A","C"
"SARI-Suyolo","SARI-Nyumingre (Obare)","PGA14011-13","-1.528202","5.472802","2020-07-23 14:29:26","2020-12-14 08:57:02","A","C"
"CRI-Dadanyuie","PG17265-N1","PGN16021-39","-1.527545","5.473047","2020-07-23 14:22:17","2020-12-14 11:27:15","C","B"
"CRI-Okumkum","PGN16021-39","SARI-Suyolo","-1.528358","5.473187","2020-07-23 14:25:48","2020-12-14 11:22:03","A","B"
"SARI-Janlow","SARI-Nan","CRI-Apomuden","-0.7356919","5.516447","2020-07-09 10:12:14","2020-12-01 12:09:52","B","C"
"CRI-Dadanyuie","SARI-Diedi","PGA14011-13","-0.7558513","5.459179","2020-07-08 10:24:39","2020-11-23 10:55:54","C","A"
"PGN16021-39","SARI-Janlow","SARI-Suyolo","-0.7246677","5.503219","2020-07-09 12:05:28","2020-12-01 10:19:40","C","B"
"PG17362-N1","SARI-Nyoriberi-gu","PGN16021-39","-0.7236569","5.504159","2020-07-09 11:30:54","2020-12-01 09:37:06","B","A"
"PGA14011-13","CRI-Apomuden","PGA14008-15","-0.7316833","5.476877","2020-07-09 14:48:33","2020-11-23 12:59:47","A","B"
"CRI-Okumkum","PG17362-N1","SARI-Diedi","-0.7450687","5.465956","2020-07-08 14:17:19","2020-12-09 10:03:16","C","B"
"SARI-Tiemeh","SARI-Nyumingre (Obare)","CRI-Okumkum","-0.7355217","5.45752","2020-07-08 17:43:06","2020-12-09 12:40:29","C","A"
"PGA14008-15","PG17265-N1","SARI-Janlow","-0.6495067","5.449802","2020-07-09 11:16:12","2020-12-10 09:20:27","B","C"
"CRI-Apomuden","PGN16021-39","SARI-Nan","-0.6669952","5.430335","2020-07-07 15:11:35","2020-11-24 14:12:05","B","C"
"PG17362-N1","SARI-Suyolo","SARI-Nyumingre (Obare)","-0.74485","5.46604","2020-07-08 13:48:11","2020-12-02 12:11:00","C","A"
"SARI-Diedi","CRI-Dadanyuie","SARI-Janlow","-0.7414801","5.479587","2020-07-08 11:47:20","2020-12-19 10:22:26","A","C"
"SARI-Suyolo","SARI-Nan","PGA14008-15","-0.730202","5.476739","2020-07-09 15:14:18","2020-11-25 12:20:38","B","A"
"PG17265-N1","CRI-Apomuden","CRI-Dadanyuie","-0.7367541","5.457746","2020-07-08 18:07:04","2020-12-19 08:23:12","B","A"
"SARI-Nan","SARI-Tiemeh","CRI-Okumkum","-0.7448561","5.466014","2020-07-16 10:37:04","2020-12-02 11:54:43","A","B"
"SARI-Janlow","CRI-Okumkum","SARI-Tiemeh","-0.6757711","5.391933","2020-07-09 07:38:43","2020-12-11 17:50:43","A","C"
"SARI-Diedi","PGA14011-13","PG17265-N1","-0.6474702","5.392182","2020-07-09 07:11:39","2020-12-11 16:30:25","B","A"
"SARI-Nyumingre (Obare)","PGA14008-15","SARI-Nyoriberi-gu","-0.6963763","5.483402","2020-07-09 10:19:58","2020-12-10 08:54:45","A","C"
"CRI-Dadanyuie","SARI-Janlow","PG17362-N1","-0.7166901","5.505776","2020-07-08 13:53:33","2020-11-16 11:16:08","C","A"
"SARI-Nyoriberi-gu","PGA14011-13","PGN16021-39","-0.7422424","5.482141","2020-07-08 12:57:55","2020-11-25 10:03:33","C","A"
"CRI-Apomuden","SARI-Tiemeh","SARI-Diedi","-0.7338073","5.45226","2020-07-08 16:32:01","2020-12-09 15:00:39","A","B"
"PG17265-N1","CRI-Okumkum","PGA14008-15","-0.397088","6.54052","2020-07-28 13:57:01","2020-12-08 12:13:45","C","B"
"SARI-Tiemeh","SARI-Nan","SARI-Diedi","-0.397106","6.540426","2020-07-28 13:58:23","2020-12-08 12:33:10","C","A"
"SARI-Suyolo","SARI-Nyoriberi-gu","CRI-Apomuden","-0.3970034","6.540424","2020-07-28 13:55:49","2020-12-08 11:44:23","A","C"
"PG17362-N1","PGA14008-15","PGA14011-13","-0.3948044","6.539397","2020-07-28 13:59:34","2020-12-01 15:02:52","C","B"
"PGN16021-39","SARI-Suyolo","SARI-Tiemeh","-0.2737344","6.583614","2020-07-17 14:11:57","2020-11-16 07:58:44","C","B"
"CRI-Dadanyuie","SARI-Tiemeh","SARI-Diedi","-0.221875","6.524182","2020-07-17 14:08:14","2020-11-19 09:30:32","A","B"
"SARI-Tiemeh","PG17362-N1","PG17265-N1","-0.2218259","6.524183","2020-07-17 13:58:35","2020-11-23 09:15:35","C","B"
"PGA14008-15","SARI-Suyolo","CRI-Apomuden","-0.2737344","6.583614","2020-07-17 14:19:21","2020-11-16 09:41:54","C","A"
"SARI-Janlow","SARI-Tiemeh","SARI-Nyoriberi-gu","-0.4714085","6.30143","2020-07-13 08:57:53","2020-12-15 08:51:55","C","B"
"PG17265-N1","SARI-Nyumingre (Obare)","PGA14008-15","-0.4714263","6.301405","2020-07-13 08:49:46","2020-12-15 08:48:05","C","A"
"CRI-Okumkum","PGN16021-39","SARI-Janlow","-0.3500815","6.335266","2020-07-13 09:04:06","2020-12-11 13:21:56","C","B"
"PG17362-N1","PGN16021-39","SARI-Nyumingre (Obare)","-0.3241035","6.331596","2020-07-13 08:55:43","2020-12-11 10:27:10","B","A"
"PG17265-N1","CRI-Okumkum","SARI-Nyoriberi-gu","-0.4715328","6.301481","2020-07-13 10:57:25","2020-12-15 08:54:27","C","A"
"SARI-Nyumingre (Obare)","SARI-Nan","SARI-Tiemeh","-0.4714098","6.301183","2020-07-20 13:17:24","2020-12-15 09:00:38","C","A"
"CRI-Dadanyuie","SARI-Janlow","SARI-Suyolo","-0.3501974","6.33526","2020-07-20 13:16:10","2020-12-11 13:23:49","A","B"
"PG17362-N1","SARI-Janlow","PGN16021-39","-0.4714871","6.301312","2020-07-13 08:00:12","2020-12-15 08:47:05","C","A"
"SARI-Suyolo","PGA14011-13","SARI-Nyoriberi-gu","-0.4715266","6.301585","2020-07-20 13:11:14","2020-12-15 08:55:36","B","A"
"SARI-Tiemeh","SARI-Diedi","PGA14008-15","-0.3501187","6.335242","2020-07-13 08:53:02","2020-12-11 13:20:03","C","B"
"SARI-Nan","PG17362-N1","PG17265-N1","-0.3253888","6.332016","2020-07-20 13:13:32","2020-12-11 10:05:52","C","A"
"PGN16021-39","CRI-Apomuden","CRI-Dadanyuie","-0.3251523","6.331887","2020-07-13 10:55:01","2020-12-11 09:56:52","C","A"
"SARI-Janlow","SARI-Suyolo","PG17362-N1","-0.3253684","6.331726","2020-07-20 13:07:57","2020-12-11 09:52:45","C","A"
"SARI-Nyumingre (Obare)","PG17265-N1","CRI-Apomuden","-0.3246561","6.331704","2020-07-20 13:14:04","2020-12-11 10:25:48","C","A"
"CRI-Okumkum","PG17265-N1","SARI-Diedi","-0.3253507","6.331671","2020-07-20 13:10:20","2020-12-11 09:49:51","C","A"
"CRI-Dadanyuie","PGA14008-15","SARI-Janlow","-0.3248769","6.331791","2020-07-20 13:12:45","2020-12-11 10:18:46","C","B"
"PGN16021-39","SARI-Tiemeh","PGA14011-13","-0.5520383","6.38094","2020-07-15 18:31:51","2020-12-09 13:56:17","A","C"
"SARI-Suyolo","PG17362-N1","SARI-Nan","-0.5145967","6.400503","2020-07-23 14:46:54","2020-12-16 12:26:20","A","C"
"SARI-Nyoriberi-gu","SARI-Nan","SARI-Janlow","-0.551485","6.381042","2020-07-20 09:48:27","2020-12-09 14:06:13","B","C"
"PGA14011-13","CRI-Dadanyuie","PG17265-N1","-0.547325","6.361688","2020-07-15 18:06:37","2020-12-10 20:48:35","A","C"
"SARI-Nyoriberi-gu","SARI-Diedi","PGN16021-39","-0.6511419","6.477957","2020-07-13 16:42:25","2020-11-19 07:53:55","A","C"
"CRI-Okumkum","SARI-Janlow","PGA14008-15","-0.5463967","6.42946","2020-07-15 10:49:39","2020-11-25 12:47:02","B","C"
"PG17265-N1","SARI-Suyolo","SARI-Tiemeh","-0.5629567","6.427235","2020-07-15 13:38:38","2020-12-02 10:45:29","A","C"
"CRI-Apomuden","SARI-Tiemeh","PG17362-N1","-0.5475967","6.36188","2020-07-17 14:39:55","2020-12-10 21:12:36","C","A"
"PGA14008-15","SARI-Nyumingre (Obare)","SARI-Nan","-0.6556073","6.474123","2020-07-13 14:03:35","2020-11-30 09:39:23","C","B"
"PG17265-N1","SARI-Nyumingre (Obare)","SARI-Nyoriberi-gu","-0.6511539","6.477927","2020-07-13 13:18:52","2020-12-02 10:29:28","C","A"
"CRI-Apomuden","SARI-Diedi","PGA14011-13","-0.6511412","6.477954","2020-07-12 09:02:59","2020-11-19 09:23:30","C","B"
"CRI-Dadanyuie","PGN16021-39","SARI-Suyolo","-0.6389997","6.488648","2020-07-13 16:38:51","2020-12-08 08:37:28","A","B"
"PG17362-N1","CRI-Okumkum","SARI-Diedi","-0.6511104","6.477896","2020-07-13 16:37:31","2020-12-08 07:15:54","B","A"
"SARI-Janlow","SARI-Nan","CRI-Apomuden","-0.6511292","6.47795","2020-07-13 14:39:45","2020-11-16 07:41:16","C","B"
"SARI-Suyolo","PGA14011-13","SARI-Nyumingre (Obare)","-0.56308","6.427485","2020-07-15 13:30:23","2020-12-02 10:53:31","C","B"
"SARI-Nyoriberi-gu","PG17362-N1","CRI-Dadanyuie","-0.6511098","6.477931","2020-07-13 16:53:52","2020-12-08 07:27:03","A","B"
"PGN16021-39","SARI-Janlow","PG17265-N1","-0.5522417","6.380843","2020-07-15 18:02:56","2020-12-07 17:56:33","A","C"
"PGA14008-15","CRI-Dadanyuie","SARI-Tiemeh","-0.585346","6.432198","2020-07-17 18:09:57","2020-11-26 08:30:56","B","A"
"SARI-Tiemeh","CRI-Okumkum","SARI-Suyolo","-0.5847544","6.431866","2020-07-18 10:46:44","2020-11-24 12:00:23","A","C"
"SARI-Nan","PGA14008-15","SARI-Diedi","-0.585346","6.432198","2020-07-17 16:23:36","2020-11-26 08:17:23","B","A"
"PGA14011-13","PG17265-N1","PG17362-N1","-0.5877127","6.437855","2020-07-17 15:42:44","2020-11-26 07:12:31","B","A"
"PG17362-N1","CRI-Apomuden","SARI-Nyoriberi-gu","-0.5877127","6.437855","2020-07-18 11:14:03","2020-11-26 06:55:07","C","A"
"SARI-Nyumingre (Obare)","SARI-Tiemeh","PGN16021-39","-0.8392183","6.093147","2020-07-18 06:31:13","2020-12-24 15:57:19","C","A"
"CRI-Okumkum","PGA14011-13","SARI-Janlow","-0.8391233","6.093115","2020-07-18 06:34:38","2020-12-31 00:26:16","C","B"
"SARI-Diedi","SARI-Nyoriberi-gu","SARI-Janlow","-0.8393633","6.093223","2020-07-18 06:35:40","2020-12-31 00:31:32","C","B"
"PG17265-N1","SARI-Nan","SARI-Nyumingre (Obare)","-0.839455","6.0933","2020-07-18 06:33:31","2020-12-31 00:35:41","C","B"
"CRI-Apomuden","PGN16021-39","PGA14008-15","-0.8395517","6.09337","2020-07-18 06:38:03","2020-12-31 00:40:03","C","A"
"SARI-Suyolo","CRI-Okumkum","CRI-Dadanyuie","-0.83924","6.093193","2020-07-18 06:39:07","2020-12-31 00:44:41","C","A"
"SARI-Nan","CRI-Dadanyuie","PG17265-N1","-0.8391367","6.093152","2020-07-18 06:23:44","2020-12-31 00:54:07","C","A"
"PGN16021-39","SARI-Suyolo","SARI-Nyoriberi-gu","-0.8391733","6.093123","2020-07-18 06:36:48","2020-12-31 00:57:13","C","A"
"SARI-Diedi","PGA14008-15","CRI-Okumkum","-0.8392833","6.093185","2020-07-18 06:40:10","2020-12-31 01:00:02","C","A"
"SARI-Tiemeh","PG17362-N1","PGA14011-13","-0.5727298","6.459581","2020-07-18 11:26:34","2020-11-24 14:14:22","A","C"
"SARI-Janlow","CRI-Apomuden","PG17362-N1","-0.585346","6.432198","2020-07-17 16:55:53","2020-11-26 09:03:36","A","C"
"SARI-Tiemeh","SARI-Nyumingre (Obare)","CRI-Apomuden","-0.5474717","6.36177","2020-07-17 15:01:00","2020-12-10 07:42:01","B","C"
"PGA14011-13","SARI-Janlow","PGN16021-39","-0.85298","6.449407","2020-07-14 07:43:32","2020-11-18 08:01:35","B","C"
"PG17265-N1","SARI-Diedi","SARI-Suyolo","-0.5475167","6.361813","2020-07-19 19:08:36","2020-12-10 07:24:32","B","A"
"SARI-Nyumingre (Obare)","SARI-Nyoriberi-gu","SARI-Nan","-0.8522983","6.449518","2020-07-14 08:03:44","2020-11-18 08:28:22","B","C"
"CRI-Okumkum","PG17362-N1","PGA14008-15","-0.2592033","6.111373","2020-07-14 11:51:50","2020-11-19 17:34:37","A","C"
"CRI-Dadanyuie","SARI-Nyumingre (Obare)","CRI-Okumkum","-0.2592133","6.111347","2020-07-14 11:54:15","2020-11-19 17:39:40","A","C"
"SARI-Nan","SARI-Diedi","PGA14011-13","-0.2604783","6.113723","2020-07-14 09:57:49","2020-11-23 17:21:24","C","B"
"PGA14008-15","SARI-Suyolo","PGN16021-39","-0.7659183","6.438203","2020-07-14 12:58:25","2020-11-10 11:39:17","B","C"
"SARI-Janlow","PG17265-N1","SARI-Tiemeh","-0.8522867","6.449547","2020-07-14 08:06:58","2020-11-18 08:55:52","B","C"
"SARI-Nyoriberi-gu","PGN16021-39","CRI-Dadanyuie","-0.8516983","6.450752","2020-07-17 10:34:17","2020-11-18 08:44:28","B","A"
"PG17362-N1","PGA14008-15","CRI-Apomuden","-0.56303","6.427625","2020-07-15 13:36:11","2020-12-02 11:15:05","C","A"
"CRI-Apomuden","CRI-Dadanyuie","SARI-Janlow","-0.5511583","6.381208","2020-07-15 17:10:43","2020-12-09 14:34:57","B","A"
"PGA14011-13","SARI-Tiemeh","SARI-Nyoriberi-gu","-0.5474933","6.36185","2020-07-15 18:08:58","2020-12-10 17:03:35","A","C"
"SARI-Suyolo","CRI-Okumkum","SARI-Nyumingre (Obare)","-0.55438","6.42405","2020-07-23 13:11:05","2020-11-19 14:39:07","A","C"
"PGN16021-39","PG17265-N1","SARI-Diedi","-0.1510583","5.961373","2020-07-17 11:34:37","2020-12-20 14:42:20","B","C"
"SARI-Tiemeh","SARI-Nan","PG17362-N1","-0.1762467","5.968822","2020-07-17 12:46:54","2021-01-20 12:34:00","C","A"
"SARI-Nyumingre (Obare)","SARI-Janlow","PGA14011-13","-0.1538817","5.949622","2020-07-18 08:23:24","2020-12-20 13:56:14","C","B"
"CRI-Okumkum","CRI-Dadanyuie","SARI-Nan","-0.1518867","5.96688","2020-07-17 16:46:25","2020-12-20 14:27:29","A","C"
"PGA14008-15","SARI-Suyolo","PG17265-N1","-0.1316267","5.964822","2020-07-17 11:04:07","2020-12-12 12:13:09","A","C"
"SARI-Diedi","CRI-Apomuden","SARI-Nyumingre (Obare)","-0.1533667","5.92592","2020-07-17 15:16:12","2021-01-02 18:06:30","B","C"
"PG17265-N1","SARI-Nyoriberi-gu","SARI-Nan","-0.1752217","6.005452","2020-07-17 17:40:24","2020-12-12 15:12:41","B","C"
"SARI-Janlow","PGN16021-39","SARI-Tiemeh","-0.1419783","5.964618","2020-07-17 09:59:22","2020-12-20 13:23:41","A","B"
"CRI-Apomuden","PGA14011-13","PGA14008-15","-0.1325033","5.96161","2020-07-17 10:40:36","2020-12-12 11:29:27","A","C"
"SARI-Nyoriberi-gu","PG17362-N1","CRI-Okumkum","-0.16355","5.950452","2020-07-17 13:57:52","2021-01-20 09:47:46","B","C"
"CRI-Dadanyuie","SARI-Nyumingre (Obare)","SARI-Diedi","-0.15443","5.949803","2020-07-18 08:32:43","2020-12-20 14:04:47","A","C"
"PG17362-N1","PG17265-N1","PGN16021-39","-0.13412","5.961222","2020-07-17 10:20:24","2020-12-18 11:24:18","B","C"
"SARI-Janlow","SARI-Tiemeh","CRI-Apomuden","-0.1574983","5.930967","2020-07-17 15:03:14","2021-01-02 18:26:59","A","C"
"CRI-Dadanyuie","CRI-Okumkum","PG17265-N1","-0.1817283","5.9313","2020-07-16 17:29:14","2020-12-05 18:23:58","B","C"
"SARI-Nan","PGA14008-15","PGN16021-39","-0.162725","5.951837","2020-07-17 13:46:44","2021-01-20 10:53:31","B","C"
"SARI-Suyolo","PGA14011-13","PG17265-N1","-0.17633","5.967358","2020-07-17 12:22:35","2021-01-20 11:29:38","A","C"
"SARI-Nyumingre (Obare)","SARI-Janlow","PG17362-N1","-0.1588367","5.93473","2020-07-17 15:57:31","2020-11-29 21:02:51","B","C"
"PGA14008-15","SARI-Tiemeh","SARI-Nyoriberi-gu","-0.16042","5.943047","2020-07-17 14:15:45","2021-01-20 10:21:24","C","B"
"PGA14011-13","SARI-Nan","CRI-Apomuden","-0.1592033","5.934692","2020-07-17 16:06:26","2020-12-05 16:40:54","C","B"
"CRI-Okumkum","CRI-Apomuden","PGA14011-13","-0.14918","5.988858","2020-07-16 17:37:36","2020-12-12 13:54:06","C","A"
"SARI-Nyoriberi-gu","SARI-Nan","CRI-Dadanyuie","-0.18125","5.932408","2020-07-16 17:35:23","2020-12-12 16:31:14","A","B"
"PGN16021-39","SARI-Diedi","PGA14008-15","-0.176775","5.956835","2020-07-17 13:14:16","2021-01-20 13:20:18","A","B"
"SARI-Suyolo","SARI-Nyumingre (Obare)","SARI-Janlow","-0.153465","5.95087","2020-07-18 08:43:44","2020-12-20 13:45:40","C","B"
"PG17362-N1","CRI-Dadanyuie","SARI-Tiemeh","-0.1550617","5.930958","2020-07-17 15:40:15","2020-12-20 15:15:30","B","C"
"CRI-Okumkum","PGA14011-13","CRI-Dadanyuie","0.36214","6.48715","2020-07-18 14:18:38","2020-12-14 15:46:26","B","C"
"PGA14011-13","CRI-Dadanyuie","PGN16021-39","0.36212","6.487168","2020-07-18 14:25:00","2020-12-14 15:43:28","B","C"
"SARI-Diedi","SARI-Nan","CRI-Okumkum","0.406855","6.770385","2020-07-20 06:29:43","2020-12-14 07:22:57","C","A"
"CRI-Apomuden","PGA14008-15","SARI-Nyumingre (Obare)","0.4610083","6.782495","2020-07-17 09:51:49","2020-12-11 11:10:48","A","B"
"PGA14008-15","SARI-Tiemeh","SARI-Nan","0.4605367","6.78296","2020-07-16 18:23:42","2020-12-02 14:17:30","C","B"
"PG17362-N1","PG17265-N1","SARI-Diedi","0.4071267","6.785265","2020-07-20 06:37:41","2020-12-02 07:22:53","A","B"
"SARI-Suyolo","PGN16021-39","PGA14011-13","0.45171","6.770027","2020-07-16 17:32:13","2020-12-02 12:08:00","A","C"
"SARI-Nyoriberi-gu","CRI-Apomuden","CRI-Dadanyuie","0.4610817","6.782623","2020-07-17 09:44:34","2020-12-11 11:25:53","C","A"
"SARI-Nyumingre (Obare)","CRI-Okumkum","PGN16021-39","0.4082633","6.78538","2020-07-15 15:47:48","2020-12-02 07:57:42","C","A"
"SARI-Tiemeh","SARI-Diedi","SARI-Suyolo","0.4376383","6.780572","2020-07-16 18:01:13","2020-12-02 13:08:58","A","B"
"CRI-Dadanyuie","SARI-Janlow","PG17362-N1","0.4610417","6.782508","2020-07-20 14:04:31","2020-12-11 08:42:39","A","C"
"SARI-Nan","PG17362-N1","PG17265-N1","0.41183","6.765115","2020-07-20 06:47:12","2020-12-14 06:50:41","C","B"
"PG17265-N1","PGN16021-39","PGA14008-15","1.003095","6.121937","2020-07-23 09:42:15","2020-11-10 08:33:51","A","B"
"SARI-Suyolo","PGA14011-13","SARI-Janlow","1.15483","6.144461","2020-07-25 08:07:42","2020-11-26 12:47:33","B","A"
"PGA14008-15","PG17362-N1","SARI-Nyumingre (Obare)","1.153494","6.101279","2020-07-25 06:44:22","2020-12-10 19:51:14","C","B"
"CRI-Apomuden","SARI-Suyolo","PGN16021-39","1.172829","6.140109","2020-07-25 07:11:28","2020-12-22 07:42:39","A","B"
"SARI-Nyumingre (Obare)","SARI-Diedi","SARI-Nyoriberi-gu","1.153435","6.101241","2020-07-25 08:22:32","2020-12-10 19:40:25","A","C"
"PG17265-N1","PGA14011-13","SARI-Tiemeh","1.158686","6.137552","2020-07-25 08:55:17","2020-12-01 08:59:06","B","C"
"SARI-Janlow","PGA14008-15","SARI-Tiemeh","1.013917","6.139295","2020-07-23 09:52:16","2020-11-10 07:29:34","A","C"
"PG17265-N1","CRI-Apomuden","SARI-Nyumingre (Obare)","0.706885","6.341657","2020-07-21 13:37:00","2020-12-01 07:29:41","A","C"
