"item_A","item_B","item_C","lon","lat","start","end","overall_pos","overall_neg"
"CRI-Okumkum","PGN16021-39","SARI-Diedi","-0.621805","9.884073","2020-07-16 12:04:00","2020-12-14 11:19:06","B","A"
"PG17265-N1","CRI-Dadanyuie","SARI-Nan","-0.6217953","9.884094","2020-07-16 12:30:29","2020-12-14 11:20:51","C","B"
"SARI-Janlow","SARI-Tiemeh","PG17362-N1","-0.6217417","9.884034","2020-07-16 12:33:15","2020-12-14 11:23:23","B","C"
"PG17305-N1","CRI-Ligri","CRI-Okumkum","-0.62178","9.884068","2020-07-16 12:39:21","2020-12-14 11:25:15","A","C"
"SARI-Nyumingre (Obare)","CRI-Apomuden","SARI-Nyoriberi-gu","-0.6218138","9.88402","2020-07-16 12:41:58","2020-12-14 11:27:48","C","A"
"CRI-Dadanyuie","SARI-Suyolo","PG17265-N1","-0.6217883","9.884043","2020-07-16 12:27:04","2020-12-14 11:11:53","C","A"
"SARI-Diedi","SARI-Nyumingre (Obare)","SARI-Janlow","-0.7647883","9.81603","2020-07-16 16:23:27","2020-12-14 14:31:00","A","C"
"SARI-Nan","SARI-Diedi","PGN16021-39","-0.7727183","9.817107","2020-07-21 11:06:40","2020-12-14 14:52:06","B","A"
"CRI-Ligri","SARI-Tiemeh","PG17305-N1","-0.7727067","9.817102","2020-07-16 15:53:35","2020-12-14 14:53:41","C","A"
"CRI-Apomuden","PG17362-N1","CRI-Dadanyuie","-0.772725","9.817102","2020-07-16 16:17:48","2020-12-14 14:55:24","B","C"
"SARI-Nyoriberi-gu","CRI-Okumkum","CRI-Ligri","-0.7727217","9.817123","2020-07-16 16:26:54","2020-12-14 15:00:48","C","A"
"SARI-Nyoriberi-gu","CRI-Apomuden","SARI-Suyolo","-0.7727067","9.817105","2020-07-16 16:07:56","2020-12-14 15:05:01","A","C"
"PGN16021-39","PG17362-N1","SARI-Tiemeh","-0.7727317","9.817095","2020-07-21 11:14:55","2020-12-14 15:07:42","B","A"
"PG17265-N1","CRI-Dadanyuie","SARI-Diedi","-0.77272","9.817112","2020-07-16 15:39:15","2020-12-14 15:15:06","C","A"
"PG17305-N1","SARI-Nyumingre (Obare)","CRI-Okumkum","-0.7727067","9.817093","2020-07-16 16:37:00","2020-12-14 15:24:35","B","C"
"PGN16021-39","SARI-Janlow","SARI-Suyolo","-0.7727067","9.817093","2020-07-21 11:17:00","2020-12-14 15:29:34","A","B"
"SARI-Nan","CRI-Ligri","SARI-Nyumingre (Obare)","-0.7727067","9.817093","2020-07-16 16:40:24","2020-12-14 15:31:44","A","C"
"PG17362-N1","PG17305-N1","CRI-Dadanyuie","-0.7727067","9.817093","2020-07-16 16:29:45","2020-12-14 15:33:28","C","B"
"SARI-Tiemeh","SARI-Janlow","SARI-Nan","-0.7727067","9.817093","2020-07-16 16:43:32","2020-12-14 15:35:21","B","C"
"CRI-Okumkum","SARI-Nyoriberi-gu","PG17265-N1","-0.7727067","9.817093","2020-07-16 16:46:04","2020-12-14 15:36:57","C","A"
"SARI-Suyolo","SARI-Diedi","SARI-Janlow","-0.7727383","9.817107","2020-07-16 16:33:42","2020-12-14 15:39:15","A","C"
"CRI-Dadanyuie","CRI-Ligri","CRI-Apomuden","-0.6382567","9.88452","2020-07-16 13:49:46","2020-11-30 10:10:04","A","C"
"CRI-Apomuden","PG17265-N1","SARI-Tiemeh","-0.6382533","9.884518","2020-07-16 13:40:25","2020-11-30 10:02:19","B","C"
"PG17305-N1","PGN16021-39","PG17362-N1","-0.63825","9.884528","2020-07-21 11:18:35","2020-11-30 10:16:58","A","B"
"SARI-Diedi","CRI-Okumkum","SARI-Nyoriberi-gu","-0.63826","9.884512","2020-07-16 13:58:55","2020-11-30 09:54:42","C","A"
"SARI-Nyumingre (Obare)","SARI-Suyolo","SARI-Nan","-0.6382467","9.884518","2020-07-16 14:06:12","2020-11-30 10:24:24","A","B"
"CRI-Okumkum","SARI-Nan","PGN16021-39","-0.6217961","9.884056","2020-07-16 12:47:41","2020-12-14 11:31:05","B","C"
"CRI-Ligri","SARI-Suyolo","PG17305-N1","-0.6382667","9.884508","2020-07-16 14:32:26","2020-11-30 10:26:24","A","B"
"SARI-Nyoriberi-gu","SARI-Nyumingre (Obare)","CRI-Dadanyuie","-0.6382583","9.88451","2020-07-16 14:30:45","2020-11-30 10:14:21","B","C"
